id;source_name;cost_usd;cost_ars;cost_date
1;Fantastic;53720;39460;2020-04-23T04:09:36
2;analyzing quantifying;5633;1740;2020-04-22T16:24:19
3;Music Compatible SMTP;96734;2193;2020-04-23T00:07:21
4;withdrawal Home Loan Account;5557;76859;2020-04-22T22:14:30
5;Agent;52333;81856;2020-04-23T13:15:50
6;Generic deposit;92198;98081;2020-04-23T09:14:17
7;disintermediate iterate Gorgeous;71335;81022;2020-04-23T08:53:01
8;Handmade Frozen Fish;21892;74584;2020-04-22T19:10:50
9;compressing Intelligent;5854;94034;2020-04-22T22:55:55
10;Bedfordshire Regional Namibia;16874;85912;2020-04-23T07:42:03
